date,strategy,bench_000001.SH,bench_000905.SZ
2018-01-31,985195.78,1000000.00,1000000.00
2018-02-28,877710.47,936387.25,959813.08
2018-03-30,903265.74,910384.45,912149.53
2018-04-27,851011.40,885486.68,857009.35
2018-05-31,815589.58,889290.97,871028.04
2018-06-29,745498.31,818027.69,735514.02
2018-07-31,772792.23,826354.09,728971.96
2018-08-31,720970.20,782930.29,693457.94
2018-09-28,718731.94,810538.68,661682.24
2018-10-31,646320.22,747747.13,549532.71
2018-11-30,681270.64,743553.97,635514.02
2018-12-28,639991.71,716465.26,566355.14
2019-01-31,650274.20,742515.40,557943.93
2019-02-28,751162.05,844899.33,663551.40
2019-03-29,818434.17,887936.21,829906.54
2019-04-30,822199.24,884368.35,774766.36
2019-05-31,769020.09,832759.22,700934.58
2019-06-28,770003.33,855794.59,714018.69
2019-07-31,775219.03,842472.32,708411.21
2019-08-30,754143.35,829179.73,664485.98
2019-09-30,752167.53,834624.60,676635.51
2019-10-31,742568.50,841481.27,667289.72
2019-11-29,745010.67,825084.39,642056.07
2019-12-31,789001.85,876262.56,698130.84
2020-01-23,753516.00,855119.38,645794.39
2020-02-28,719801.70,827475.34,596261.68
2020-03-31,687695.08,790125.78,564485.98
2020-04-30,716644.36,821665.93,553271.03
2020-05-29,693427.78,819444.91,565420.56
2020-06-30,701043.38,857459.62,602803.74
2020-07-31,753419.89,950923.56,674766.36
2020-08-31,770841.56,975535.77,672897.20
2020-09-30,739204.40,924506.21,619626.17
2020-10-30,736002.86,926367.95,614018.69
2020-11-30,752931.65,974408.92,677570.09
2020-12-31,766168.57,997769.47,670093.46
2021-01-29,777165.20,1000642.32,616822.43
2021-02-26,768594.87,1008115.01,618691.59
2021-03-31,751494.72,988818.22,667289.72
2021-04-30,746813.02,990238.83,631775.70
2021-05-31,761261.13,1038681.51,634579.44
2021-06-30,741643.08,1031706.09,622429.91
2021-07-30,710912.30,976018.39,589719.63
2021-08-31,742406.80,1018129.80,623364.49
2021-09-30,743746.32,1025089.80,618691.59
2021-10-29,738990.09,1019105.40,592523.36
2021-11-30,743076.16,1023860.32,698130.84
2021-12-31,766086.77,1045662.05,702803.74
2022-01-28,720524.14,965699.68,665420.56
2022-02-28,746403.67,994677.42,714953.27
2022-03-31,700293.47,934317.31,719626.17
2022-04-29,620533.20,875383.00,641121.50
2022-05-31,679576.68,915420.74,785981.31
2022-06-30,690858.70,976380.00,738317.76
2022-07-29,699381.11,934614.74,747663.55
2022-08-31,691496.33,919934.23,753271.03
2022-09-30,639509.99,868869.65,661682.24
2022-10-31,645796.16,831261.53,677570.09
2022-11-30,697769.95,905339.31,713084.11
2022-12-30,666180.09,887505.25,674766.36
2023-01-31,706023.42,935313.14,719626.17
2023-02-28,721881.75,942189.68,695327.10
2023-03-31,701328.35,940251.89,673831.78
2023-04-28,696420.13,954735.32,704672.90
2023-05-31,685527.75,920631.36,703738.32
2023-06-30,691836.69,919912.54,727102.80
2023-07-31,735427.37,945474.67,758878.50
2023-08-31,703786.49,896301.56,681308.41
2023-09-28,704427.41,893600.74,689719.63
2023-10-31,698725.99,867255.12,656074.77
2023-11-30,713720.45,870387.16,677570.09
2023-12-29,697510.02,854661.65,670093.46
2024-01-31,604818.18,801115.10,590654.21
2024-02-29,597353.17,866221.06,597196.26
2024-03-29,610280.44,873689.30,601869.16
2024-04-30,608980.94,891977.34,601869.16
2024-05-31,587509.55,886802.97,591588.79
2024-06-28,520682.06,852497.80,528037.38
2024-07-31,537068.12,844266.00,545794.39
2024-08-30,520618.15,816532.67,521495.33
2024-09-30,616680.11,958534.07,603738.32
2024-10-31,631483.85,942252.62,613084.11
2024-11-29,681225.74,955649.21,624299.07
2024-12-31,650429.85,962919.68,669158.88
2025-01-27,640323.40,933857.02,671028.04
2025-02-28,650619.30,954052.35,649532.71
2025-03-31,653877.30,958318.26,706542.06
2025-04-30,642687.22,942024.80,690654.21
2025-05-30,654146.72,961691.33,744859.81
2025-06-30,656582.23,989540.49,752336.45
2025-07-31,668801.08,1026538.13,775700.93
2025-08-29,691684.48,1108334.40,827102.80
2025-09-30,673041.56,1115473.50,766355.14
2025-10-31,686844.39,1136161.82,976635.51
2025-11-28,682175.36,1117145.16,1010280.37
2025-12-31,675117.30,1140198.24,1221495.33
